matnr	maktx	ersda	bstme	werks	lgort	lvorm	labst
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		REF2	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		REF1	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R113	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R112	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R111	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R110	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R109	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R108	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R107	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R106	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R105	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R104	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R103	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R102	R10A		0.000
MR516112016	Melania Cardigan, Navy, Extra Small	20161226		R101	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		REF2	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		REF1	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R113	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R112	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R111	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R110	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R109	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R108	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R107	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R106	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R105	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R104	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R103	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R102	R10A		0.000
MR516112015	Melania Cardigan, White, Extra Large	20161226		R101	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		REF2	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		REF1	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R113	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R112	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R111	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R110	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R109	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R108	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R107	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R106	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R105	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R104	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R103	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R102	R10A		0.000
MR516112014	Melania Cardigan, White, Large	20161226		R101	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		REF2	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		REF1	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R113	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R112	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R111	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R110	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R109	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R108	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R107	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R106	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R105	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R104	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R103	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R102	R10A		0.000
MR516112013	Melania Cardigan, White, Medium	20161226		R101	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		REF2	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		REF1	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R113	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R112	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R111	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R110	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R109	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R108	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R107	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R106	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R105	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R104	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R103	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R102	R10A		0.000
MR516112012	Melania Cardigan, White, Small	20161226		R101	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		REF2	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		REF1	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R113	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R112	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R111	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R110	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R109	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R108	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R107	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R106	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R105	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R104	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R103	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R102	R10A		0.000
MR516112011	Melania Cardigan, White, Extra Small	20161226		R101	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		REF2	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		REF1	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R113	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R112	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R111	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R110	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R109	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R108	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R107	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R106	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R105	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R104	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R103	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R102	R10A		0.000
MR516112010	Melania Cardigan, Green, Extra Large	20161226		R101	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		REF2	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		REF1	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R113	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R112	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R111	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R110	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R109	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R108	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R107	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R106	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R105	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R104	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R103	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R102	R10A		0.000
MR516112009	Melania Cardigan, Green, Large	20161226		R101	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		REF2	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		REF1	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R113	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R112	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R111	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R110	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R109	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R108	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R107	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R106	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R105	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R104	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R103	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R102	R10A		0.000
MR516112008	Melania Cardigan, Green, Medium	20161226		R101	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		REF2	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		REF1	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R113	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R112	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R111	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R110	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R109	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R108	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R107	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R106	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R105	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R104	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R103	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R102	R10A		0.000
MR516112007	Melania Cardigan, Green, Small	20161226		R101	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		REF2	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		REF1	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R113	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R112	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R111	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R110	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R109	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R108	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R107	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R106	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R105	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R104	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R103	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R102	R10A		0.000
MR516112006	Melania Cardigan, Green, Extra Small	20161226		R101	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		REF2	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		REF1	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R113	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R112	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R111	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R110	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R109	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R108	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R107	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R106	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R105	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R104	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R103	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R102	R10A		0.000
MR516112005	Melania Cardigan, Red, Extra Large	20161226		R101	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		REF2	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		REF1	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R113	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R112	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R111	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R110	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R109	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R108	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R107	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R106	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R105	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R104	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R103	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R102	R10A		0.000
MR516112004	Melania Cardigan, Red, Large	20161226		R101	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		REF2	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		REF1	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R113	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R112	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R111	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R110	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R109	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R108	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R107	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R106	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R105	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R104	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R103	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R102	R10A		0.000
MR516112003	Melania Cardigan, Red, Medium	20161226		R101	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		REF2	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		REF1	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R113	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R112	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R111	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R110	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R109	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R108	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R107	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R106	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R105	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R104	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R103	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R102	R10A		0.000
MR516112002	Melania Cardigan, Red, Small	20161226		R101	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		REF2	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		REF1	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R113	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R112	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R111	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R110	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R109	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R108	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R107	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R106	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R105	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R104	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R103	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R102	R10A		0.000
MR516112001	Melania Cardigan, Red, Extra Small	20161226		R101	R10A		0.000
MR516112	Melania Cardigan	20161226		REF2	R10A		0.000
MR516112	Melania Cardigan	20161226		REF1	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		REF2	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		REF1	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R113	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R112	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R111	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R110	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R109	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R108	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R107	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R106	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R105	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R104	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R103	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R102	R10A		0.000
MR516101025	Platinum Charm Orig, Dark Denim, Size 32	20161226		R101	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		REF2	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		REF1	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R113	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R112	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R111	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R110	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R109	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R108	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R107	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R106	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R105	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R104	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R103	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R102	R10A		0.000
MR516101024	Platinum Charm Orig, Dark Denim, Size 31	20161226		R101	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		REF2	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		REF1	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R113	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R112	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R111	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R110	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R109	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R108	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R107	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R106	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R105	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R104	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R103	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R102	R10A		0.000
MR516101023	Platinum Charm Orig, Dark Denim, Size 30	20161226		R101	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		REF2	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		REF1	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R113	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R112	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R111	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R110	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R109	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R108	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R107	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R106	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R105	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R104	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R103	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R102	R10A		0.000
MR516101022	Platinum Charm Orig, Dark Denim, Size 29	20161226		R101	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		REF2	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		REF1	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R113	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R112	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R111	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R110	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R109	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R108	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R107	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R106	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R105	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R104	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R103	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R102	R10A		0.000
MR516101021	Platinum Charm Orig, Dark Denim, Size 28	20161226		R101	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		REF2	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		REF1	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R113	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R112	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R111	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R110	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R109	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R108	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R107	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R106	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R105	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R104	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R103	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R102	R10A		0.000
MR516101020	Platinum Charm, Vintage Bleach, Size 32	20161226		R101	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		REF2	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		REF1	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R113	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R112	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R111	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R110	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R109	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R108	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R107	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R106	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R105	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R104	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R103	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R102	R10A		0.000
MR516101019	Platinum Charm, Vintage Bleach, Size 31	20161226		R101	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		REF2	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		REF1	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		R113	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		R112	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		R111	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		R110	R10A		0.000
MR516101018	Platinum Charm, Vintage Bleach, Size 30	20161226		R109	R10A		0.000
